word,sentiment
屏保,100.0589472
男朋友,91.91934023
手机,84.99952337
爱心,82.14040944
风格,81.81361739
壁纸,81.72099844
感谢,79.59342782
装修,77.04741289
老公,76.32414791
刷到,76.20241629
什么,74.23275712
这样,73.85618714
家,72.93549597
男,72.89588763
知道,72.17985201
她,71.33473069
想,71.29929787
鼓掌,70.78762649
刷,70.48829537
问,70.46584773
他,70.15713454
为什么,69.60166564
一定,69.55230744
谁,69.2079162
别人,68.68884607
告诉,68.59203569
人,68.08568543
怎么,67.93965959
强壮,67.87881112
比心,67.8201622
买,67.80720655
自己,67.53616931
啥,67.52086157
赞赞,67.42252751
送心,67.35092605
一起加油,67.18570556
也,67.07211635
说,67.06845675
你们,66.96737002
玫瑰,66.83195255
唱,66.21433576
哪里,66.20398946
流泪,66.04455026
当,65.77542378
去,65.56292781
都,64.97074615
拿,64.85654396
让,64.83514238
做,64.79374383
一个,64.53190747
看到,64.44905067
祈祷,64.32257357
死,64.26463452
喜欢,64.14145658
哪,63.9205537
看见,63.39445974
我们,63.32616396
就,63.32347442
发现,63.2721853
对,63.07756014
刚刚,63.02545975
给,62.99524217
我,62.98060582
到,62.92639273
觉得,62.69003671
听,62.66162168
以为,62.61714827
孩子,62.28774783
不能,62.27656041
这,62.23804219
用,61.9798282
时候,61.82362538
能,61.78334591
拍,61.67803863
刚刷,61.62374362
中国,61.57925629
一起,61.55601813
女朋友,61.47874183
有人,61.46119625
巧克力,61.3988957
还,61.29884004
会,61.02098332
过,60.99353687
视频,60.95311823
男人,60.95175112
那,60.89560735
爱,60.79158598
英雄,60.72936336
发怒,60.72761276
这个,60.66043301
父母,60.6535062
玩,60.5818899
有,60.34114906
大笑,60.31571849
你,60.30336609
在,60.03943787
动态,59.98407561
找,59.88731757
吃,59.76878309
跟,59.65729308
多,59.3892318
加油,59.28835482
不会,59.2252156
笑,59.15443685
他们,59.01280738
把,58.94690457
完,58.68257324
哭,58.54680239
可能,58.42516499
如果,58.21748928
抖音,58.12621537
女,57.96898237
平安,57.90384612
电视,57.87966524
渣,57.52578217
咋,57.51063261
柠檬树,57.36742699
哈哈哈哈,56.85053308
一直,56.84939453
那个,56.66651144
老婆,56.58137157
带,56.4951835
多少,56.40025118
心心,56.22723886
帮,56.22358202
翻,56.21284105
这么,56.19465926
家里,56.17913637
泣不成声,56.15653259
好看,56.12387335
打脸,55.97869542
哈哈哈,55.87844468
回来,55.82080304
穿,55.72942377
辛苦,55.71624061
以后,55.70480589
为,55.56240819
电视剧,55.43378569
名字,55.40743811
打,55.37638937
欢迎,55.29133718
这种,55.20370848
应该,55.20231406
站,55.04516259
可爱,55.0398322
因为,55.00740852
才,54.70895131
东西,54.4904401
怕,54.42777325
现在,54.27537273
要,54.17883823
抠鼻,54.10693848
被,54.06886843
一样,53.92940972
迷人,53.9078376
漂亮,53.86918416
只,53.84660762
锁屏,53.80401765
朋友,53.77027454
钱,53.54518064
个,53.38326104
狗,53.28067297
不,53.22083788
两个,53.16222574
刚,53.11414674
爱慕,53.06529689
为啥,53.05262093
啊啊啊,52.90370096
懂,52.88773333
它,52.8412543
但是,52.74518276
们,52.67233492
挺,52.59136802
那么,52.58030604
希望,52.57259574
最,52.49083278
儿子,52.469255
保护,52.42424095
赞赞赞,52.39684412
真的,52.34180455
回家,52.20017397
着,52.13412584
泪奔,52.12121698
再,52.1024802
但,52.08504876
电影,52.08183572
危险,52.06869601
人民,51.98820787
没,51.97384272
感觉,51.89867437
关注,51.88409793
不到,51.87695964
等,51.85422188
笑哭,51.79498882
更新,51.74261681
就是,51.4324763
来,51.13341814
可以,51.02420318
出来,51.01607083
不要,50.89194597
找到,50.8310654
好好,50.74408019
看看,50.72888893
每次,50.51067222
又,50.5060379
戴口罩,50.46462851
最后,50.42884111
上,50.38673729
看,50.30093649
奸笑,50.25766361
火,50.22420398
几个,50.18663381
钉,50.13578931
所以,50.04727427
快哭了,50.0221123
要是,50.00354516
跑,49.97721005
一次,49.96755152
一下,49.82598766
屏,49.78761845
呲牙,49.77808528
微笑,49.74900883
然后,49.71433481
鸡,49.69636601
走,49.62178295
直播,49.55318906
不配,49.50630942
女人,49.48872751
人家,49.48431778
终于,49.3921168
只有,49.34392194
碰拳,49.29543249
开始,49.29504582
妈,49.29304283
这里,49.25753589
很多,49.25024621
厉害,49.2342431
结果,49.14235104
地方,49.09190162
链接,49.02826881
问题,48.95195096
养,48.94278859
有个,48.81666306
以前,48.74995858
痛,48.47084955
骄傲,48.3510493
大家,48.26767258
弄,48.24342625
屏幕,48.22934192
已经,48.19546935
很,48.06890003
卖,48.02807418
我家,47.99579749
放,47.95344358
送,47.76394421
不是,47.73956762
是,47.70432249
肯定,47.68509276
支持,47.67808876
叫,47.51375592
歌,47.50922002
好,47.48913174
酷拽,47.48734273
客厅,47.30775551
永远,47.30338986
只是,47.2684378
你家,47.15759152
一种,47.12693667
骗,47.11853552
