/home/jiaxiang.hao/anaconda3/lib/python3.6/site-packages/h5py/__init__.py:34: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
WARNING:tensorflow:From densifier_v2_cp.py:34: The name tf.reset_default_graph is deprecated. Please use tf.compat.v1.reset_default_graph instead.

WARNING:tensorflow:From densifier_v2_cp.py:257: The name tf.random_normal is deprecated. Please use tf.random.normal instead.

WARNING:tensorflow:From densifier_v2_cp.py:261: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

WARNING:tensorflow:From densifier_v2_cp.py:287: The name tf.train.exponential_decay is deprecated. Please use tf.compat.v1.train.exponential_decay instead.

WARNING:tensorflow:From densifier_v2_cp.py:294: The name tf.train.GradientDescentOptimizer is deprecated. Please use tf.compat.v1.train.GradientDescentOptimizer instead.

WARNING:tensorflow:From densifier_v2_cp.py:308: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2020-04-27 15:26:56.513315: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcuda.so.1
2020-04-27 15:26:56.546076: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1640] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:84:00.0
2020-04-27 15:26:56.546312: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546473: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546626: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546770: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546911: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.547051: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.555219: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcudnn.so.7
2020-04-27 15:26:56.555260: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1663] Cannot dlopen some GPU libraries. Skipping registering GPU devices...
2020-04-27 15:26:56.555954: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2020-04-27 15:26:56.724195: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55e039c43de0 executing computations on platform CUDA. Devices:
2020-04-27 15:26:56.724278: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): GeForce RTX 2080 Ti, Compute Capability 7.5
2020-04-27 15:26:56.729519: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2197365000 Hz
2020-04-27 15:26:56.734480: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55e039d80390 executing computations on platform Host. Devices:
2020-04-27 15:26:56.734545: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2020-04-27 15:26:56.734725: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1181] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-04-27 15:26:56.734773: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1187]      
WARNING:tensorflow:From densifier_v2_cp.py:309: The name tf.global_variables_initializer is deprecated. Please use tf.compat.v1.global_variables_initializer instead.

2020-04-27 15:26:56.761134: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
WARNING:tensorflow:From densifier_v2_cp.py:313: The name tf.train.Saver is deprecated. Please use tf.compat.v1.train.Saver instead.

====================================================================================================
len data separate: 19560960
beginning to work on aligned pairs...
Lenght of pairs_align: 19578168
eavluation: step:0 , loss : -46.63346481323242, lr:4.949999809265137, Q distance:1180.633056640625
eavluation: step:100 , loss : -15438.591796875, lr:1.8118619918823242, Q distance:33238.0546875
eavluation: step:200 , loss : 3723.56787109375, lr:0.6632006764411926, Q distance:12685.517578125
eavluation: step:300 , loss : -19873.830078125, lr:0.24275316298007965, Q distance:4401.1357421875
eavluation: step:400 , loss : -44105.77734375, lr:0.08885559439659119, Q distance:1732.7857666015625
eavluation: step:500 , loss : -40228.3671875, lr:0.03252405300736427, Q distance:583.418212890625
eavluation: step:600 , loss : -22186.6953125, lr:0.011904867365956306, Q distance:235.89500427246094
eavluation: step:700 , loss : -32880.1015625, lr:0.00435757078230381, Q distance:82.99605560302734
eavluation: step:800 , loss : -13745.4638671875, lr:0.0015950134256854653, Q distance:27.577899932861328
eavluation: step:900 , loss : -8120.90380859375, lr:0.0005838270299136639, Q distance:10.47525405883789
eavluation: step:1000 , loss : -44915.125, lr:0.00021369980822782964, Q distance:3.262833595275879
eavluation: step:1100 , loss : -52978.0625, lr:7.822112092981115e-05, Q distance:1.3548146486282349
eavluation: step:1200 , loss : 497.50244140625, lr:2.8631486202357337e-05, Q distance:0.5349897146224976
eavluation: step:1300 , loss : -383.52099609375, lr:1.0480061064299662e-05, Q distance:0.16849958896636963
eavluation: step:1400 , loss : -53139.56640625, lr:3.836044925265014e-06, Q distance:0.03397965431213379
eavluation: step:1500 , loss : -35941.796875, lr:1.4041179383639246e-06, Q distance:0.0013085603713989258
eavluation: step:1600 , loss : 3138.90673828125, lr:5.139530685482896e-07, Q distance:0.00010609626770019531
eavluation: step:1700 , loss : -25056.62109375, lr:1.881236357803573e-07, Q distance:4.172325134277344e-06
eavluation: step:1800 , loss : -26486.32421875, lr:6.885939995981971e-08, Q distance:1.1920928955078125e-06
eavluation: step:1900 , loss : -57027.99609375, lr:2.520479469581005e-08, Q distance:0.0
eavluation: step:2000 , loss : -35571.34375, lr:9.22577925166479e-09, Q distance:0.0
eavluation: step:2100 , loss : -39650.5390625, lr:3.3769367302483033e-09, Q distance:0.0
eavluation: step:2200 , loss : -7132.0341796875, lr:1.2360692469570722e-09, Q distance:0.0
eavluation: step:2300 , loss : -63833.546875, lr:4.524418062423763e-10, Q distance:0.0
eavluation: step:2400 , loss : -39385.453125, lr:1.6560849913638265e-10, Q distance:0.0
eavluation: step:2500 , loss : -28049.20703125, lr:6.061812163338232e-11, Q distance:0.0
eavluation: step:2600 , loss : -62360.16796875, lr:2.2188216541874084e-11, Q distance:0.0
eavluation: step:2700 , loss : -4270.080078125, lr:8.121612757316932e-12, Q distance:0.0
eavluation: step:2800 , loss : -18387.763671875, lr:2.9727761051423496e-12, Q distance:0.0
eavluation: step:2900 , loss : -18474.818359375, lr:1.0881332727225024e-12, Q distance:0.0
eavluation: step:3000 , loss : -24549.78515625, lr:3.9829234745394904e-13, Q distance:0.0
eavluation: step:3100 , loss : -35191.9921875, lr:1.457880311698384e-13, Q distance:0.0
eavluation: step:3200 , loss : -38513.03515625, lr:5.336318409723817e-14, Q distance:0.0
eavluation: step:3300 , loss : -58955.68359375, lr:1.953267124324247e-14, Q distance:0.0
eavluation: step:3400 , loss : -857.625, lr:7.149596737668525e-15, Q distance:0.0
eavluation: step:3500 , loss : -25821.888671875, lr:2.6169862175733083e-15, Q distance:0.0
eavluation: step:3600 , loss : -10007.169921875, lr:9.579025720280734e-16, Q distance:0.0
eavluation: step:3700 , loss : -23307.59375, lr:3.5062367692264207e-16, Q distance:0.0
eavluation: step:3800 , loss : -89517.8359375, lr:1.2833973225045221e-16, Q distance:0.0
eavluation: step:3900 , loss : -30881.9140625, lr:4.69765398989521e-17, Q distance:0.0
eavluation: step:4000 , loss : -56945.109375, lr:1.7194949154635833e-17, Q distance:0.0
eavluation: step:4100 , loss : -55631.1015625, lr:6.2939138833394184e-18, Q distance:0.0
eavluation: step:4200 , loss : 29298.490234375, lr:2.3037782424795997e-18, Q distance:0.0
eavluation: step:4300 , loss : -17661.205078125, lr:8.432581602277029e-19, Q distance:0.0
eavluation: step:4400 , loss : -17606.451171875, lr:3.0866009327929533e-19, Q distance:0.0
eavluation: step:4500 , loss : -26947.173828125, lr:1.1297967555903395e-19, Q distance:0.0
eavluation: step:4600 , loss : -49428.02734375, lr:4.135426141443213e-20, Q distance:0.0
eavluation: step:4700 , loss : -32401.236328125, lr:1.5137011006459737e-20, Q distance:0.0
eavluation: step:4800 , loss : -34211.37109375, lr:5.54064072760701e-21, Q distance:0.0
eavluation: step:4900 , loss : -13720.4296875, lr:2.028055818801441e-21, Q distance:0.0
eavluation: step:5000 , loss : -468.5576171875, lr:7.423347725552904e-22, Q distance:0.0
eavluation: step:5100 , loss : -13414.2294921875, lr:2.7171880953472966e-22, Q distance:0.0
eavluation: step:5200 , loss : -40440.58984375, lr:9.945797365401852e-23, Q distance:0.0
eavluation: step:5300 , loss : -33731.55078125, lr:3.640487054689308e-23, Q distance:0.0
eavluation: step:5400 , loss : -22149.263671875, lr:1.3325373724399103e-23, Q distance:0.0
eavluation: step:5500 , loss : -41733.65625, lr:4.877522638246537e-24, Q distance:0.0
eavluation: step:5600 , loss : -36080.7421875, lr:1.785332645756279e-24, Q distance:0.0
