,sentiment
捂脸,0.13065631902525615
腰,0.17760013515245476
哈哈哈哈,0.0443956948354799
哈哈哈,0.07812938595482816
贾玲,0.20502333920853885
笑,0.13338553553286656
泪奔,0.09629634323582122
沈腾,0.19056246454268996
死,0.10264534322052701
泣不成声,0.1452428816504016
原来,0.11698514871759055
看,0.1670320358564241
没有,0.16609999030665532
第一次,0.08267790146494858
呲牙,0.1341925741763081
笑哭,0.12236398198831783
好,0.16444753539449897
见,0.06102853054518505
沙溢,0.17317846824994526
太,0.13425325658378012
人,0.16254587988996025
没,0.16943104086151134
可爱,0.10900810680730914
说,0.18157295048439936
小,0.12304122337133803
大笑,0.12460490380224037
王牌,0.1505443187353098
真的,0.13784875134453745
知道,0.1337874754114243
东西,0.1498384258969155
发现,0.17482978261569435
喜欢,0.13573365596265555
搞笑,0.13186943942040585
胯,0.14533920836144842
想,0.14121389513140378
晓彤,0.15496564812322683
撑,0.1254593484830182
一起,0.14077743831519868
微笑,0.13097164084727447
鹿晗,0.10738949972872364
他俩,0.1483290989101178
没见,0.07997231883689743
不是,0.14105524361901892
撑腰,0.0887792504617031
两个,0.1348912542684388
腾哥,0.13948016915875833
爱,0.1283513744040229
关晓彤,0.14727398260148808
看看,0.10568753059687047
现在,0.1628041326898514
一下,0.15611029424699704
见到,0.08909733704899306
好像,0.11818932898657869
看到,0.12239926355344691
吃,0.10727123964961245
摸,0.14733773147268348
偷笑,0.1463402152737952
表情,0.08235550412915792
新大陆,0.09967978409538662
感觉,0.12309700598799983
节目,0.12324636019720911
今天,0.08584327050781451
胯骨,0.1376653416020352
玫瑰,0.14209325094349182
活宝,0.08479285529743404
身材,0.11182262590513828
觉得,0.12485556193330982
以前,0.10267790121337997
摸了摸,0.08750899439446927
瘦,0.102006727664613
憨,0.10939395575632233
俩,0.10177956348775315
胖,0.09141413933434343
这俩,0.07068781887388986
去,0.10056943104591376
抠鼻,0.09578897455136959
真,0.09250502538118795
哈哈笑,0.04226415978023592
送心,0.17802323941674275
奸笑,0.11446718261632992
点,0.07695586275174376
曾经,0.09195802611875985
赞,0.07392910067621891
肉,0.094497509140954
仨,0.07422383865065404
真是,0.08642059568166617
腿,0.07065102278606075
哥,0.09732541632820471
终于,0.08772508633927645
比心,0.08994977670551221
流泪,0.09373502331424474
倚,0.08885051635712388
看见,0.056990358831941965
不能,0.09032792822067069
传说,0.045601423100307896
同学,0.07082943172261234
突出,0.08836769332951379
挎,0.08970795182431801
拥有,0.08075674279638721
有点,0.07556619979040381
孩子,0.11935276069839493
鼓掌,0.09990058793379428
快,0.08404186034812026
样子,0.07707953068518603
住,0.07308985541299656
一期,0.08633416392526314
有没有,0.06846910567060646
这是,0.06860066171741848
妖,0.057826137402312475
以为,0.07437535698481378
卧槽,0.06239435813694243
何物,0.07115587373298664
快乐,0.06151038069201918
你俩,0.061253928422651434
别人,0.05014851631944659
我要,0.05041331019425664
妹妹,0.05024753005525048
越来越,0.058750161379712625
高,0.07279867566584122
灵机一动,0.10067224425405849
宝贝,0.04214415043757299
挺,0.08989536752728533
逗,0.06219787805597435
花花,0.07058744151146015
不要,0.06773529311829476
说话,0.07060177058484668
两,0.06585192360601323
好事,0.07347832662019392
沙雕,0.07095491523794892
手,0.05764500743758676
找,0.08122204105486627
包袱,0.049852450062770254
试试,0.05422666004602429
神奇,0.06248616067821121
吖,0.059554515767017924
抱,0.088922357233878
哥哥,0.06603618201611172
站,0.08919174830045798
忘,0.07439497290912533
两人,0.05608952034575672
腰为,0.08111749658188154
完,0.0643862646554418
玲姐,0.05235272353172896
月,0.06158705620919848
月亮,0.0653459519531973
地方,0.06508044751172573
没腰,0.0773623466714192
是不是,0.06499485264809876
腰间盘,0.06987903310875755
星星,0.055596373181691625
不会,0.06786576561887418
其实,0.06902348001597504
默默,0.059576832304239734
不失礼貌的微笑,0.08992887237441367
宽,0.05829358237194547
天,0.03488031179799229
轴子,0.05071068264973311
已经,0.060271480064650926
仙女,0.03788478535625362
再,0.060071696523633714
常驻,0.05489270993516762
小孩子,0.06260433716115206
见识,0.05156848599892303
妈,0.0462885407900461
沈,0.06856369216858393
胖子,0.04252312764590393
不知,0.08010199365822795
女孩,0.051166995971163545
出来,0.053287870214499225
好看,0.0670392578522932
后来,0.07379539218820758
胳膊,0.07614551065588829
肚子,0.03377378649157725
羡慕,0.05471535766358262
笑死人,0.034070939352363286
太逗,0.04852590538020393
张文宏,0.04648320379090788
三个,0.05341089640850668
起来,0.06854010111133928
这段,0.050008964577170384
啊啊啊,0.04708102268620747
旗袍,0.05336352607276623
一次,0.06389635694413161
知识,0.046325250997932894
带,0.061052005988554925
睡觉,0.05714650392567536
赶紧,0.05685885904669429
小时候,0.05120104499089906
我妈,0.06218492410669986
儿,0.04180273822806657
一只,0.030526555948131154
不行,0.050351007430189686
酷拽,0.0441950654853174
小姐,0.02534861507645627
老,0.04658783389531826
找到,0.05101997119483701
发呆,0.03016073181128455
开心,0.035983671554439586
好玩,0.03818772604132101
惊讶,0.03825501512448953
特别,0.056613287794405415
身上,0.06777277397490455
可能,0.04884207994556183
酱,0.018564565236992382
小孩,0.07340089075709057
一天,0.053389254984038605
想着,0.05925030189520442
突然,0.055474394488865195
一对,0.054218628454769546
呐,0.03152498921556876
做,0.0583676440550887
啵,0.06462703008990987
够,0.06020932897324296
漂亮,0.03812852891575851
眼睛,0.035160438060741636
