,sentiment
赞赞,-1.8706625703317912
员工,-4.836089015533652
老板,-3.2523311477226793
捂脸,-3.1607561695427373
玫瑰,-1.3207264850986324
好,-2.622469079004025
格力,-4.02235575050412
鼓掌,-1.3704360733447847
赞赞赞,-2.4122677733069713
赞,-3.126187124833987
董,-3.701952965367071
去,-2.5509446485949554
企业家,-3.3686769198707687
想,-2.7725545935000007
企业,-3.481291103896817
中国,-2.6826640532325756
人,-3.654744438887875
房子,-4.555619818090875
呲牙,-2.6551163181056427
公司,-3.68128195290564
比心,-2.3633365514776035
技术,-3.7420429157621076
董姐,-3.235143124963798
小姐,-2.6264274976655297
上班,-2.5406276942346806
做,-3.461943095163249
没有,-3.980335907895812
良心,-1.921294649361409
工作,-3.5331519074591635
干,-3.7840073694319556
还要,-1.7912154133789542
不是,-3.5884545448940037
招人,-2.123848807427672
点赞,-2.360171479604883
说,-3.8888739816790396
姐姐,-2.5292993444196683
感谢,-2.967651151602284
买,-3.6618391312891303
没,-3.6837701874874362
格局,-2.897858262372033
团队,-3.0993052127237988
董总,-2.7120250501817265
领导,-2.618134119844366
住,-3.537134422229501
技术人员,-3.39724998128444
董明珠,-3.2714810744997687
这才,-2.048099214608849
真,-2.24851720303833
真正,-2.508675515045354
厉害,-1.8861177510592317
我要,-1.7258422773581932
普通员工,-2.837590206793048
太,-2.570186624092872
空调,-3.174061317499413
真的,-2.77929329377824
房,-3.5591758134311027
女人,-2.6603161413968595
给力,-2.127583848340899
牛,-2.217063048489421
才能,-3.4842975283417488
支持,-2.4571515397938004
希望,-2.9983098361381884
一起加油,-3.326135631179228
幸福,-2.2199645112150375
套房,-3.5168791701930697
一线,-2.7179371375596597
大姐,-1.9640505169298592
一套,-3.739385078656321
打工,-2.415152918102777
现在,-3.338861020593904
肯定,-3.4169717029708373
佩服,-2.448588969841742
应该,-3.2590189996024845
霸气,-1.7311872393946364
加油,-2.3693133137225644
格力空调,-2.692204767629362
普工,-2.3840848057732966
不要,-2.453542688610956
微笑,-2.624790441028938
福利,-2.313562047841696
进,-2.0776803253400407
工资,-3.759370891985511
流泪,-2.6528888393744987
知道,-2.625530176884012
不会,-2.765174098716188
真是,-1.5649078062722073
董事长,-1.6726446528507508
一定,-2.910903960070578
学习,-2.1966777666680666
喜欢,-2.0245730979941134
爱心,-2.8557664980455053
开心,-2.5810769071640696
人才,-2.9969197890453865
需要,-1.8048388021428168
钱,-3.031894689646448
点,-1.342221959158059
逼,-2.0469246839872284
解决,-2.6143335212080796
一辈子,-2.40727192504274
可能,-2.9530217150881226
总,-1.9883489126135632
懂,-2.036551501204192
女神,-1.6675986171708042
跟着,-1.7998975347178532
羡慕,-2.014796213493587
威武,-1.0576260433796936
年,-2.5617809002526646
分房,-2.891333058757793
这种,-1.84589820476975
关心,-2.0891553953688042
值得,-2.119691037786613
每个,-1.7718763591352997
伟大,-1.5538794671999034
不能,-2.368768137754587
产权,-1.9246020060120987
女强人,-1.6444248540780928
老总,-1.9315587269378232
愿意,-2.3089847360854656
好样,-1.428540927757561
着想,-1.7153707507930571
最好,-1.5994144307879665
后,-2.307699956126075
分,-2.156674409047519
单位,-2.372722840019157
看,-2.292183985450398
房产证,-2.2763179588946585
有没有,-2.069210634325583
必须,-1.445060201468876
留住,-2.1146445113719032
以后,-1.9318542141852268
宿舍,-2.130088639401117
努力,-2.23050156317223
工人,-2.175197028271431
成为,-1.2442395959439905
人员,-1.9934807654717637
退休,-2.2225903917678806
了不起,-1.148047826026696
问,-2.1661061709052047
巧克力,-2.7763595804882804
套,-1.9641796588277818
看看,-1.6851607215485187
一下,-2.16993135858222
好好,-1.4995493621471874
所有,-1.8344837318281781
铁娘子,-1.3930179395540816
一人,-1.9169423617800545
问题,-1.8793791304276006
实干家,-1.2086059699203409
真好,-0.7104491040569099
房地产,-1.3006512274498339
卖,-2.112579870436752
社会,-1.8888845197185296
大家,-1.742867990854745
国家,-1.7620248338353235
重要,-1.1404683165749785
做到,-1.7929182405597384
泪奔,-1.8324026737239447
待遇,-1.504907675287341
泣不成声,-1.530701873020785
儿子,-1.655137517222903
今年,-1.8828780001249679
小区,-1.978624993088136
搞,-1.3229481751453456
越来越,-1.517097181202922
不错,-1.2074461632855913
进去,-1.5364339028297436
全国,-1.3563214542184991
是不是,-1.5759137139732649
以前,-1.7516017584421577
考虑,-1.4346340221518648
可惜,-1.4772790161549083
老,-0.9718104868207478
灵机一动,-2.149817888861456
看到,-1.5229440669617815
辞职,-1.4453284790465504
实力,-1.3525801232344854
买不起,-1.600458235052444
卖命,-1.2535849903532261
女中豪杰,-0.9094794645241355
实现,-1.736038426869011
后顾之忧,-1.2406111766950585
结婚,-1.522336220093751
明珠,-1.6511391341503745
偶像,-0.7906274858261644
买房,-1.6404178957257223
家,-1.2344582304506813
免费,-1.5606352942452442
抠鼻,-1.6047664437850224
下,-1.2977308288858551
女,-0.9805511686117874
每人,-1.381752811190634
找,-1.2435088575188518
再,-1.7236795217318803
说到做到,-0.736121391166525
太好了,-0.9060872936724119
不到,-1.892052018498343
优秀,-0.8649077652520941
大爱,-1.234202238585991
跳槽,-1.1086224817669914
最美,-1.0390183140246636
实在,-1.1225550371726714
请问,-1.1916229838186025
遇到,-1.1578934502865295
棒,-0.9839990708745723
招工,-0.9807439135894138
房价,-1.4712676022096223
永远,-1.305410226019137
只能,-1.1919472193003116
出来,-1.6112174748680224
缺人,-1.360642120237613
豪横,-0.646060626152979
姐,-1.067606906331118
事,-1.7116498447072237
榜样,-0.9588568807873432
流水线,-1.3411375339730172
送心,-1.7604505554935825
阿姨,-1.141551050235058
走,-1.1532492285350093
核心,-1.1194171150662178
这是,-1.2248635437081807
觉得,-1.588217113457782
太少,-0.6632205684851478
事情,-1.4765497661522744
生活,-1.1738440465354936
有钱,-1.4522801935813447
真幸福,-0.46442019971726356
非常,-1.3335920864094102
别人,-1.4432772869593165
发展,-1.3731646037760281
爱,-0.8803849900259924
居住,-1.8209411184402784
几个,-1.077820862339844
谢谢,-1.089983634005522
