word,sentiment
小米,-6.21968592
雷总,-6.243921293
捂脸,-6.07441733
青春,-6.227685884
手机,-6.306937371
看,-6.270955847
雷,-6.343728552
呲牙,-5.469151311
雷军,-6.397966434
鼓掌,-8.687072198
好,-6.376333424
想,-6.921970462
华为,-6.278544678
买,-6.198072904
看看,-5.595827114
总,-6.654850169
喜欢,-5.586754046
年轻,-6.222561611
赞,-6.264541364
现在,-6.616560491
版,-5.87863433
微笑,-6.299260722
布斯,-5.431086772
泣不成声,-6.869530642
玫瑰,-5.408607258
支持,-5.928331382
米,-6.571377996
说,-6.967220743
加油,-5.761796855
泪奔,-8.594023216
不能,-6.762991646
米粉,-6.68499043
人,-6.947644521
没有,-6.578926532
年轻人,-6.931367383
奸笑,-7.959092812
没,-6.757129884
灵机一动,-6.19716811
老板,-6.157474964
做,-6.652696019
一下,-7.363649553
真的,-6.149359344
特别,-9.064224107
希望,-7.664369475
赞赞,-6.581836517
知道,-6.330341442
不是,-5.994642712
感觉,-7.022914089
你家,-5.101255776
流泪,-10.05788943
去,-6.293089807
爱,-5.784239494
价格,-5.784952882
一起加油,-8.387976285
干翻,-4.325763649
比心,-6.418445315
抖音,-6.23343663
抠鼻,-6.891725334
永远,-5.541832986
不要,-6.177763159
请问,-6.428903319
问题,-6.843551635
苹果,-7.31369316
帅,-5.155546409
赞赞赞,-5.483176613
有没有,-6.381586189
换,-6.825778107
更新,-5.937102631
梦想,-6.583193081
直播,-5.864072876
是不是,-6.43449574
你好,-5.594143815
沙子,-11.09502442
红米,-5.9489287
关注,-6.379894437
越来越,-5.727415761
产品,-7.47649475
问,-5.555950835
朋友,-5.408761931
可怜,-9.708794005
大家,-5.438005255
不错,-5.731615007
终于,-5.401888296
年,-6.820231966
总是,-6.053698122
偶像,-5.781566091
翻,-5.576712417
送,-5.35195632
湖北,-5.240743027
觉得,-6.351940915
卖,-6.451425576
少年,-6.110413325
下,-7.816670773
酷拽,-6.4105957
逼,-5.4814587
耶,-5.309510122
摄像头,-7.093333431
再,-7.10493894
发型,-5.876833229
大笑,-6.268272207
老,-4.982914313
已经,-6.521570797
屏幕,-6.981960905
电池,-6.902390737
想要,-4.864289436
发布,-5.868110287
应该,-6.632183014
雷哥,-5.561984775
公司,-6.792186598
老师,-5.684508038
打造,-5.438023181
点,-6.569407021
搞,-6.117469705
我要,-5.417485698
有点,-5.814502886
感谢,-6.256196618
钱,-5.600845426
看到,-5.421519458
发布会,-6.146523119
几个,-6.142802351
送心,-5.507466539
大学,-6.07946498
牛,-4.871800377
号,-5.689494353
里,-6.774394732
多少钱,-4.392699749
雷军雷,-4.760483792
不会,-7.242799367
真,-5.813792235
视频,-6.1287563
黑,-5.538462342
帅气,-4.473961935
粉丝,-6.230538118
老乡,-5.493157423
啥时候,-5.414775765
初恋,-4.52032495
照片,-5.233497758
一点,-5.685531097
便宜,-5.885590177
迷茫,-5.915719207
交个,-4.469202824
点赞,-5.141543404
以前,-5.237841314
必须,-5.56264049
一部,-5.190716901
听,-5.010397622
爱心,-5.283237614
小,-6.404721661
好看,-4.859536444
一台,-5.215587488
