,sentiment
捂脸,-0.48946811876082835
阿姨,-0.5978619112417614
学校,-0.6044927326051535
吃,-0.7120574490661036
食堂,-0.583724942848316
抖,-0.5391802487264199
看,-0.6078316462857576
泪奔,-0.41954553228310326
泣不成声,-0.4613875008447017
真实,-0.3578098965784112
说,-0.6139521741258743
微笑,-0.48147900564678126
打饭,-0.5716102568520955
菜,-0.662453462750038
手抖,-0.5208217737579799
好,-0.5689247775186841
太,-0.3167671034923957
饭,-0.6177175577164966
没,-0.5917946820331567
看看,-0.4520414116572865
呲牙,-0.46614476886291
去,-0.5897448335303511
吃饭,-0.5748067978814577
里,-0.5784644072839791
流泪,-0.4701664555255534
直接,-0.7045679283519882
学校食堂,-0.5511359825242497
不是,-0.5319385166462904
打菜,-0.6200196563659889
每次,-0.5739109412372865
没有,-0.6670687610093489
肉,-0.5985832035402053
一次,-0.5216132398578596
知道,-0.5231586927937979
人,-0.5896554649141031
哈哈哈哈,-0.39765789802807017
笑哭,-0.34739197980392755
饭堂,-0.515655906560434
同学,-0.5071581759768501
里面,-0.5994727401833086
手,-0.49856426717946933
小,-0.5117110563305735
吃不完,-0.4721016864408284
少,-0.5874686171421246
想,-0.4420673768691842
不会,-0.4259941346154403
哈哈哈,-0.3836028728853633
好吃,-0.504658530432623
姐姐,-0.4934615861968218
发怒,-0.7064983517867242
一点,-0.5628009972109567
学生,-0.46566820707977996
抠鼻,-0.5468882923943958
虫子,-0.5519402781281001
高中,-0.486062432348622
真的,-0.4361209919539062
黑脸,-0.502527103054496
不要,-0.4298583193065295
老师,-0.5685558055782858
统一,-0.4242429016330148
过于,-0.3464982413783525
死,-0.48542343456787396
再,-0.5911997660258059
特别,-0.49974479112371684
不抖,-0.3878621308146732
苍蝇,-0.5015850025266142
一下,-0.5082975624646591
记得,-0.4865359833551368
出来,-0.6021272442633504
灵机一动,-0.4055183214234066
头发,-0.566425559607621
勺子,-0.49478384984362556
完,-0.4501472216292671
问,-0.5854522635212205
怕,-0.44009034208117415
全国,-0.4699861031125073
蟑螂,-0.4480883446248756
钢丝,-0.5263441631966215
初中,-0.4652130555246462
点,-0.5012748207133501
钱,-0.5345316432665524
现在,-0.533951211670117
孩子,-0.4821891784117097
以前,-0.4451250656461072
一大,-0.5413297689702512
