,sentiment
泣不成声,1.9407254988118074
啊啊啊,1.094767176450574
捂脸,2.948595999958882
狗,3.523971684991337
爱,1.7858465645010204
喜欢,3.1440742860356616
峰峰,2.4294629351274097
想,3.7381099635716355
玫瑰,1.7497172342531386
泪奔,2.2739533127355607
送心,1.5575433421691538
看,3.389348173534937
李易峰,3.2393782139483847
好,3.0889062138150516
好帅,1.8861614852249748
帅,2.589046441251053
比心,1.9556110240626812
羡慕,2.5248974359643506
遛狗,3.3336098644730043
呲牙,2.3740229451578583
老公,2.659528942266868
男人,3.106653313434151
峰哥,2.8693873117761166
爱心,1.758553964601731
太帅,2.262299325426355
哥哥,2.1048501368733605
狗狗,3.144520529996386
流泪,2.0737536558690435
微笑,2.976682473465332
人,2.9355987048007393
打开,2.1488378594699555
那条,2.530091579504652
不是,3.6188018976479217
哈哈哈,2.6190760722461466
抖音,3.0565030427990467
害羞,2.5817131606948176
藏不住,2.368988330479966
变成,2.6329088978144455
瘦,2.245949859827265
这狗,2.985597104222272
眼神,2.0497274307770414
舔屏,3.5586509615053297
狗子,3.194240284158929
看看,2.6474869859481984
小,2.754288636466668
遛,2.8216425163269547
太,2.288527770907747
有点,2.256245222746661
男神,2.312452913767835
灵机一动,2.480995150273593
鼓掌,3.1107417319820776
大笑,3.3736040986808726
哈哈哈哈,2.7493490865215593
真的,2.91746840904697
感觉,3.10375883432663
牵,2.8244661239739886
卧槽,2.118969602572956
一起,2.4776839584822037
一条,2.1692007930974317
去,3.4654830929228533
溜,2.2564978644955334
不想,3.1259554249879153
快,3.1780713655000645
我家,3.1524336571434546
好看,2.659180898094544
飞吻,3.218172842090068
说,3.234583323148468
一天,2.112644696610202
心动,2.382665949081389
绳子,2.5946753877543705
不失礼貌的微笑,2.92389435232855
发型,2.0475548861375072
哥,2.222447415479715
看到,3.1902636975111305
工作室,2.2532164933894654
好像,2.7631460082438686
李,2.670534917449049
做,2.4345394309430364
没,3.582749964334722
一只,2.467729642832951
死,1.8148885056965058
一天两天,2.196654157539085
嫁给,2.710069174473981
那根,2.9092536648404668
色色,1.9282966959229055
觉得,2.709671912579492
我峰哥,2.0163823976255393
这条,2.128772430699951
我哥,2.2514658156961183
知道,2.208276889174557
居然,2.1882310199948223
呆无辜,2.7007269956335374
现在,3.240779299170539
笑哭,2.8492996706961833
年,2.097130587873819
抠鼻,2.816865584948127
色,1.6216175900230212
今天,2.4176425708850235
爬树,2.275388507976113
没有,3.1522289988203873
色色色,1.953707282923313
视频,2.9534373578893547
男,1.9583970971281395
头发,2.2932676647735057
当人,2.4320542185902196
穿,2.5926149125362214
我爱你,1.728520403047475
帅气,1.8926655478043348
绳,2.13499690609524
真,1.9396362066561592
好瘦,1.3374606194851362
越来越,1.5545770189726043
终于,2.4207054345724464
可爱,1.821664159183097
可怜,2.2717606379486597
惊喜,2.0613829730646906
号,2.6335207021837936
这是,1.581226303119747
妈呀,1.4202144996854762
竟然,1.6948808606969288
帅哥,1.830156936182136
拍,2.9360519690690006
呜呜,2.1964383703676873
走,3.107251307082548
是不是,2.2270153290321537
完,2.5976206672645956
快哭了,2.305393212115135
我峰,1.86678999390617
第一次,1.9113950189032052
男朋友,2.2431772531644634
耶,1.682975470965446
已经,2.616748330947985
手里,2.181230231018744
出来,2.37736067088402
天,1.4229307965494504
活,1.3935323964367563
犬,2.2413688337934876
偷笑,2.537841220449889
真帅,1.2779628471435363
希望,1.9585355465255887
品种,1.5041195327740673
成为,1.6177536831087762
看见,2.486769213828789
吃,2.347571642210551
男孩,1.6755139880645928
不要,2.007814052603729
峰,1.3863009258635617
过狗,0.8725732034638838
突然,1.9049338468830874
开个,1.7892296809545007
生活,2.311905325699965
大爷,1.7919051145885507
机智,1.9977932679390318
陪,1.9725343261889012
奸笑,1.642165250500947
宝贝,1.0554600889727084
哇哇,1.444782695426864
拥抱,2.3951787077071867
兔子,1.9230700418048094
永远,1.959838746916967
样子,1.6705849966941204
单身,1.3082327434590812
系列,1.3168376283667917
发呆,1.9466518145567335
笑,1.6386736219111486
脸,1.416087552740812
调皮,1.8998498605636658
帅帅,1.8193891251840073
刷,2.0794257898079884
不能,2.1276243002062283
赞,1.409702447310656
结婚,1.9815405249608786
我要,1.5261546801671297
哮天,1.8127286023823634
以为,1.7735492267049502
草草,1.0539799091945585
爬,1.6979824389136255
开心,1.733766317895465
思考,1.8340647343628054
灵,1.84628322392741
坏笑,1.9869244469068619
幸福,1.2934435709154206
更新,1.635481031362844
白眼,1.2421064987635562
摸头,1.913028982822924
呦,1.131557117438722
皱眉,2.0915552977646112
一次,1.863651748268949
缇,2.0493162449227356
为啥,1.4367862540975613
腿,1.819473386604809
超级,1.5760118526293583
好好,2.1230049946889205
憨,2.0080314122151024
吖,1.2674572631034604
酷拽,2.244935794071519
原来,1.5361250189330509
放开,0.8694811535395977
吐舌,1.6181993930511078
爱慕,1.8463015563017435
前排,1.2579581535445463
来看,1.2853131666798205
完狗,1.9141215815043966
哭,0.7800153866602786
评论,1.3774067790657365
魅力,1.4732935209583697
告诉,1.6387692541584813
不看,1.1594014347437485
好羡慕,0.8531810051274593
想要,1.3194755428606595
七年,1.0314915717981818
回家,1.683126530597859
六年,1.1052567153325716
第一个,1.4147312971434949
狗绳,1.2140922801603558
辽,1.2238341746439134
长得,1.543467867502818
同款,1.3622412844240182
牵着,1.2972011983522833
老李,1.2361513221767495
点,1.183714967411795
嫁,1.04300594726653
好久不见,0.8904542740392143
应该,1.2211439346630606
蜜蜂,1.8473551453417199
这种,1.735590598442342
你好,0.7063448355975208
好长,1.1341363054073614
激动,1.2707888223451216
再,1.506825596755647
嘿哈,1.5823481517225009
一下,1.52139394158913
当狗,1.363003899937926
少年,1.1042162985467656
第一眼,1.2151312722591399
心,1.2092556569675055
太爱,0.7526070496578824
请,1.6715631826857575
一定,1.6456694069190427
颜值,1.4209376114615566
找,1.4021282240239974
得不到,1.1113618358900677
回来,1.4771747472082184
一起加油,1.8052064160670236
真是,1.0858521577892746
老婆,0.9469384250931294
巧克力,1.6773260405891595
歌,1.532083710625519
温柔,1.0672055957919104
